company,ticker,sector,fiscal_year,risk_score,DSRI,GMI,TATA,cfo_to_ni,related_party_pct_revenue,auditor_changed,promoter_pledge_pct
Office Equipment/IT Services Co 34,LIVE034,Office Equipment/IT Services,2026,0.9895159631057837,1.1372850715418557,0.9731517994870227,0.010630531432998877,0.8842486582765567,0.0357537664943554,0,0.046949132448579595
Aviation Co 45,LIVE045,Aviation,2026,0.981566325216806,1.0627792322510725,0.8085103003807375,0.025859856091613172,0.8318285627910058,0.018287672559076738,0,0.0
Textiles/Plastics Co 53,LIVE053,Textiles/Plastics,2026,0.9748272084325661,0.8327321539835689,0.8722866183739508,0.025342115978927184,0.8309554604854517,0.030856094029740586,0,0.0
Jewellery Retail Co 28,LIVE028,Jewellery Retail,2026,0.06391455149383896,1.208798156623091,1.2438235315177142,0.0445663411876444,0.34229938095226775,0.07561714761357868,1,0.29925596594679205
Aviation Co 57,LIVE057,Aviation,2026,0.0317056036506704,0.9298365259141707,1.1478576315811984,0.03779997830947634,0.5946924603328199,0.020662558278235557,0,0.025163291901813156
Financial Services Co 54,LIVE054,Financial Services,2026,0.00033945010504855626,0.9453874923181835,1.0176306954029666,0.021245096255494738,0.7549330068976301,0.015228790979819187,0,0.08804727629405583
FMCG Beverages Co 51,LIVE051,FMCG Beverages,2026,0.00020341777814598459,0.9588412149932367,0.9949321305188764,0.02418063616952193,0.7695859553220765,0.02407129803208276,0,0.07595514989784109
FMCG Beverages Co 15,LIVE015,FMCG Beverages,2026,0.00018599993357316412,1.2140039856004394,0.9110162886698209,0.022635119298701604,0.8252493411755513,0.029672992358427724,0,0.12583963285696242
Private Banking Co 12,LIVE012,Private Banking,2026,7.957052186598025e-05,1.1536777275479104,0.9574209327831474,0.019701106792752655,0.8408206678238747,0.017441679286591766,0,0.012890395300128164
Healthcare Co 19,LIVE019,Healthcare,2026,7.626950294258487e-05,0.642127356385507,1.0811217224652847,0.01313467612603864,0.8997303113504417,0.012713895147404727,0,0.08857666298809597
IT Services Co 49,LIVE049,IT Services,2026,7.253687056367303e-05,1.4883716280811699,0.7906629390358563,0.004841573438621526,0.9575456125104878,0.039944284946810724,0,0.0441900357820123
Healthcare Co 31,LIVE031,Healthcare,2026,6.711431854068269e-05,1.043996581093561,1.2242561593546526,0.004757965558293272,0.9375893495055525,0.033530735775420595,0,0.1233101409812841
Infrastructure Finance Co 35,LIVE035,Infrastructure Finance,2026,5.582460369806336e-05,0.8999417173680178,1.2009681682676991,0.008847180153797842,0.8903106813645819,0.02869675756694491,0,0.10890924264085923
Retail/E-Governance Co 32,LIVE032,Retail/E-Governance,2026,4.394045640966559e-05,0.9443772595449358,1.1717994344201828,0.012089959337811712,0.8610364596512639,0.02835376993902231,0,0.10930712510594155
Housing Finance NBFC Co 14,LIVE014,Housing Finance NBFC,2026,2.8881686818431853e-05,0.7965448042321613,1.1883774981443382,0.009838299980665745,0.8580636802249364,0.0009186958677473329,0,0.0441559906795738
Jewellery Retail Co 52,LIVE052,Jewellery Retail,2026,2.7513556868124976e-05,1.009508177449262,1.0118310767641723,0.012322453167094448,0.8696889491190918,0.027275336936257992,0,0.05853259708750257
Office Equipment/IT Services Co 22,LIVE022,Office Equipment/IT Services,2026,2.4590160572086525e-05,1.2986626938399424,0.8956462486463374,-0.005331146800586619,1.0470306953378525,0.031091698114921316,0,0.0
IT Services Co 1,LIVE001,IT Services,2026,2.3110089502254546e-05,1.3694022984968781,1.0507894361557586,0.0009496829422969544,0.9897728595243009,0.02142425736070565,0,0.08452426770338842
Jewellery Retail Co 4,LIVE004,Jewellery Retail,2026,2.3109956996597855e-05,1.307109713976771,0.9475709227074127,-0.0061948089016702285,1.0881880171331348,0.004661385950838624,0,0.09319140068490941
Private Banking Co 60,LIVE060,Private Banking,2026,2.3109950437463603e-05,1.0988524145817762,0.9491945293845144,0.0015750003608066328,0.9869080089588564,0.014186815180347952,0,0.07344348012709424
Textiles/Plastics Co 5,LIVE005,Textiles/Plastics,2026,2.3109941295396987e-05,1.128001622245512,1.0186513490927624,0.006575452575577581,0.9335870648907165,0.0,0,0.13021271807585705
Aviation Co 33,LIVE033,Aviation,2026,2.3109678462906375e-05,0.8832571613983815,1.0233976258933686,0.0012151046322710992,0.9872397419333023,0.009891310821436825,0,0.12522533592946133
FMCG Beverages Co 3,LIVE003,FMCG Beverages,2026,2.310957582508028e-05,0.9186012717877209,1.068778449038268,0.0038694731495435724,0.9572391825302299,0.022282283301389053,0,0.17587370187669604
FMCG Beverages Co 39,LIVE039,FMCG Beverages,2026,2.2279385904299176e-05,0.905318719114636,1.2504291059499124,0.006521216280099203,0.8907587343599104,0.030090998037340055,0,0.0
Housing Finance NBFC Co 38,LIVE038,Housing Finance NBFC,2026,2.2278183628505853e-05,1.3715825164077071,0.9696441992637497,-0.0046510168366617494,1.031670625680198,0.014516544621349815,0,0.05206030333908099
Financial Services Co 30,LIVE030,Financial Services,2026,2.2278057583988497e-05,0.8695035976395151,1.004811686105333,0.0010453370899593084,0.9899830483436639,0.0032088957237628273,0,0.04458833308385134
Aviation Co 21,LIVE021,Aviation,2026,2.2278056577385964e-05,0.6395348165666385,1.1329185752410944,-0.001944898705431072,1.031993735450032,0.018360464999730035,0,0.020951990573425838
Jewellery Retail Co 40,LIVE040,Jewellery Retail,2026,2.2278056284263148e-05,0.6043031930986559,0.9690244763084697,0.005120359416134647,0.9455243654363785,0.0,0,0.060775398465087824
Retail/E-Governance Co 56,LIVE056,Retail/E-Governance,2026,2.227805421296951e-05,0.9754410596100809,0.9240237228992558,-0.015150441355682704,1.1293470240008787,0.0,0,0.030583304843367694
Housing Finance NBFC Co 2,LIVE002,Housing Finance NBFC,2026,2.227805421296951e-05,0.9443993801455816,0.8019963884865204,0.004979949792122084,0.9625638853956275,0.018413651629613118,0,0.0
Aviation Co 9,LIVE009,Aviation,2026,2.2278053739413255e-05,1.1176213361504719,0.9276141053668713,-0.0018061897024818324,1.0145606625555577,0.0038012800560823026,0,0.0
Office Equipment/IT Services Co 46,LIVE046,Office Equipment/IT Services,2026,2.227805365794941e-05,0.9517027426454908,1.127562957925368,0.003583074799717435,0.9514029521338446,0.009736015458848066,0,0.025493082588031037
Textiles/Plastics Co 29,LIVE029,Textiles/Plastics,2026,2.2278049207690412e-05,1.1413118624883374,1.2278920679225138,0.0002718978144366091,0.9967335258681832,0.010923824938993996,0,0.051824037780711575
Retail/E-Governance Co 20,LIVE020,Retail/E-Governance,2026,2.227804867332938e-05,1.1871430487884735,0.9089804231664818,0.003601908258656419,0.9616750635315818,0.01982962110662537,0,0.06415342940049948
Retail/E-Governance Co 44,LIVE044,Retail/E-Governance,2026,2.2278048140566714e-05,1.1930210942067419,1.1445362334307625,0.0015298232627177306,0.9864238750733261,0.022808543487255223,0,0.05231016379074768
Private Banking Co 48,LIVE048,Private Banking,2026,2.2278046817121536e-05,1.065118999301043,0.9599600165529493,0.006369025984934819,0.9324324808592992,0.01842682167151534,0,0.041985352858849044
Office Equipment/IT Services Co 58,LIVE058,Office Equipment/IT Services,2026,2.227804265627788e-05,1.1177811606710126,1.0745220824437243,0.004123771756631638,0.9191328980310702,0.01331729994694702,0,0.06283918907569284
Jewellery Retail Co 16,LIVE016,Jewellery Retail,2026,2.2278042479774797e-05,1.0336841631921196,0.6687602916836602,-0.0035424324374367403,1.0273973018340008,0.022929338234972917,0,0.0
Healthcare Co 43,LIVE043,Healthcare,2026,2.2277955578117957e-05,1.0314076690076928,1.107090777226943,0.004617002471108647,0.9427744791795896,0.013525897942983827,0,0.03630041175514985
IT Services Co 25,LIVE025,IT Services,2026,2.2277952740158156e-05,1.1172704109780023,0.8006721481964039,0.003126992562919336,0.9803750064491187,0.016909776348037506,0,0.041356445877828184
Textiles/Plastics Co 17,LIVE017,Textiles/Plastics,2026,2.2277932864406125e-05,0.9977220140201725,1.0881622346824713,0.006939990909026446,0.9336744387961252,0.015083443850345156,0,0.020967429862720766
FMCG Beverages Co 27,LIVE027,FMCG Beverages,2026,2.2277686635753803e-05,0.9944653609743248,0.8329782490791889,0.00013476656563865796,0.9986761389143742,0.01785725057445535,0,0.0
Financial Services Co 42,LIVE042,Financial Services,2026,2.2277474545147288e-05,0.907578021983348,1.062040426660946,-0.008781139422443211,1.0841275838596558,0.027173484576086773,0,0.0
Healthcare Co 55,LIVE055,Healthcare,2026,2.2223762245884024e-05,1.4528186293602487,0.9203733347752148,0.004998660044725782,0.9432941982798428,0.011324090627367263,0,0.053524811451058196
Private Banking Co 36,LIVE036,Private Banking,2026,2.1857563456860885e-05,0.9062892461047416,1.1154080339203698,0.008115182373833406,0.7921053858873118,0.03060327204779694,0,0.03648017220983208
Retail/E-Governance Co 8,LIVE008,Retail/E-Governance,2026,2.069382187384002e-05,1.4583462521056396,1.010847662059222,0.013673385855722751,0.8146429880664189,0.01982437173522554,0,0.004878845260374368
Office Equipment/IT Services Co 10,LIVE010,Office Equipment/IT Services,2026,2.052687524746169e-05,1.2362034166333487,0.9489047496342523,0.007894755068924113,0.909683380687151,0.013719339162746261,0,0.06557264171517198
Infrastructure Finance Co 11,LIVE011,Infrastructure Finance,2026,2.0403914929963434e-05,0.8342540600551601,1.086142479237887,0.015055772520508541,0.81368057099117,0.011669632772039884,0,0.022113555625239263
Healthcare Co 7,LIVE007,Healthcare,2026,1.7145684762569187e-05,1.1596101561883383,0.9029117501327518,0.013028554797853855,0.8574921871787733,0.0170622107984787,0,0.0
